DATE,IPUTIL
2006-10-01,98.3758
2006-11-01,98.8159
2006-12-01,95.6856
2007-01-01,97.7901
2007-02-01,103.9051
2007-03-01,99.0827
2007-04-01,100.7645
2007-05-01,100.9714
2007-06-01,99.1520
2007-07-01,98.0884
2007-08-01,102.7624
2007-09-01,102.8430
2007-10-01,101.5947
2007-11-01,101.6751
2007-12-01,99.7152
2008-01-01,100.9573
2008-02-01,102.3709
2008-03-01,101.5837
2008-04-01,101.5522
2008-05-01,100.3502
2008-06-01,101.7977
2008-07-01,100.4065
2008-08-01,96.7349
2008-09-01,98.6292
2008-10-01,99.3008
2008-11-01,100.6352
2008-12-01,100.1750
2009-01-01,100.0410
2009-02-01,97.1721
2009-03-01,98.4303
2009-04-01,98.0094
2009-05-01,96.6462
2009-06-01,95.8288
2009-07-01,94.5473
2009-08-01,95.5934
2009-09-01,96.7034
2009-10-01,98.9030
2009-11-01,95.9700
2009-12-01,101.1990
2010-01-01,101.7464
2010-02-01,103.2975
2010-03-01,99.8351
2010-04-01,96.8144
2010-05-01,100.8985
2010-06-01,102.9319
2010-07-01,102.0691
2010-08-01,102.3603
2010-09-01,102.4008
2010-10-01,99.0135
2010-11-01,100.2125
2010-12-01,105.5018
2011-01-01,103.2908
2011-02-01,101.4467
2011-03-01,101.1303
2011-04-01,100.6924
2011-05-01,100.1151
2011-06-01,101.2229
2011-07-01,102.9112
2011-08-01,102.7487
2011-09-01,100.9022
2011-10-01,99.5508
2011-11-01,98.7612
2011-12-01,97.4696
2012-01-01,94.7898
2012-02-01,95.4419
2012-03-01,94.1049
2012-04-01,97.4350
2012-05-01,101.6308
2012-06-01,99.4199
2012-07-01,101.2202
2012-08-01,100.0609
2012-09-01,98.3576
2012-10-01,100.1777
2012-11-01,99.2023
2012-12-01,96.3946
2013-01-01,97.8452
2013-02-01,98.4595
2013-03-01,102.5427
2013-04-01,102.1643
2013-05-01,100.0498
2013-06-01,98.9983
2013-07-01,98.9409
2013-08-01,98.7053
2013-09-01,99.9779
2013-10-01,101.4910
2013-11-01,102.6798
2013-12-01,105.1774
2014-01-01,106.2564
2014-02-01,105.3225
2014-03-01,104.8648
2014-04-01,101.9485
2014-05-01,101.7405
2014-06-01,100.0441
2014-07-01,97.8369
2014-08-01,98.6655
2014-09-01,100.7814
2014-10-01,101.4334
2014-11-01,104.4854
2014-12-01,101.3048
2015-01-01,102.4818
2015-02-01,107.7743
2015-03-01,104.5847
2015-04-01,101.6693
2015-05-01,100.4593
2015-06-01,101.3152
2015-07-01,100.6373
2015-08-01,100.9611
2015-09-01,101.9160
2015-10-01,100.4876
2015-11-01,97.8219
2015-12-01,95.6692
2016-01-01,99.7875
2016-02-01,99.6171
2016-03-01,95.4843
2016-04-01,101.4088
2016-05-01,99.9231
2016-06-01,102.9041
2016-07-01,102.9706
2016-08-01,105.0717
2016-09-01,102.5382
2016-10-01,99.5918
2016-11-01,97.1517
2016-12-01,102.9462
2017-01-01,97.6396
2017-02-01,92.9540
2017-03-01,99.6527
2017-04-01,99.5691
2017-05-01,100.7725
2017-06-01,101.1257
2017-07-01,101.5090
2017-08-01,99.8438
2017-09-01,99.2245
2017-10-01,101.3529
2017-11-01,101.5796
2017-12-01,104.7767
2018-01-01,107.3591
2018-02-01,100.6622
2018-03-01,103.2052
2018-04-01,107.7681
2018-05-01,104.2815
2018-06-01,104.9990
2018-07-01,103.8182
2018-08-01,105.1059
2018-09-01,104.2559
2018-10-01,105.8643
2018-11-01,108.0543
2018-12-01,103.1328
2019-01-01,104.0043
2019-02-01,105.0575
2019-03-01,105.6521
2019-04-01,102.8236
2019-05-01,103.9272
2019-06-01,101.6728
2019-07-01,104.2830
2019-08-01,103.9742
2019-09-01,105.0233
2019-10-01,103.6667
2019-11-01,105.7770
2019-12-01,102.2224
2020-01-01,97.8024
2020-02-01,101.4545
2020-03-01,97.3048
2020-04-01,99.3381
2020-05-01,97.5429
2020-06-01,101.4726
2020-07-01,105.1515
2020-08-01,103.3563
2020-09-01,100.4418
2020-10-01,100.3627
2020-11-01,97.8283
2020-12-01,103.5049
2021-01-01,100.7853
2021-02-01,108.2540
2021-03-01,98.9858
2021-04-01,101.7408
2021-05-01,100.9372
2021-06-01,103.6142
